index,question,value,response,correct
0,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"3280000.0, 112228.0","112228.00, 65470.00",False
1,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, nyse_az","112228.00, 65470.00",False
2,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"142457.0, 14249.0, 3193.0","142457.00, 3193.00, 14249.00",False
3,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,5.1,59232.00,False
4,What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,"8430.0, 123311.0","322.00, 8430.00",False
5,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"168709.0, 770748.0","2251.00, 179523.00",False
6,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,71.22,"26.20, 35.06",False
7,Which companies have the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,"vivendi, otc_su, nyse_tte","company's waste balance and waste treatment processes(a), total volume of processed waste, total non-hazardous waste",False
8,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"7635784.0, 3130824.0","7635784.00, 6041553.00",False
9,Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,otc_bayzf,"otc_bayzf, otc_crerf",False
10,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_adddf, vivendi","otc_adddf, vivendi, otc_bayzf",False
11,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"565200.0, 329775.0","363226.00, 250916.00",False
12,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,"nyse_tte, otc_su","otc_su, nyse_tte",False
13,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"vivendi, otc_bayzf","1.12, 4.51",False
14,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"33.09, 1124.33, 35056.0","33.09, 35056.00, 1124.33",False
15,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,927.88,927880.00,False
16,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"nyse_tte, heidelberg-materials","heidelberg-materials, 329775.00, munich-re, 250916.00",False
17,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,heidelberg-materials,heidelberg-materials,True
18,What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"0.04, 0.11, 3.28","3.28, 42.42, 42423.00",False
19,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2-eq?,"munich-re, vivendi, nasdaq_dasty","munich-re, vivendi, nasdaq_dasty",True
20,Which companies have the top 3 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"otc_bamgf, otc_crerf, otc_esocf","8.20, 35.40, 5.05",False
