index,question,value,response,correct
0,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0,total energy consumption: 1373243.00,False
1,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.05,average: 1596.50,False
2,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.11,sum of ghg emissions scope 2 in 2023: 4.22,False
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,11075.0,"average: 10,075.00",False
4,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12,0.14,False
5,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34,"total energy consumed (terajoules) for heidelberg-materials from 2022 to 2023: (347068 + 329775) / 2 = 338921.50

total energy consumption (gwh) for prosiebensat1-media from 2022 to 2023: (33.26 + 33.09) / 2 = 33.18

average energy consumption from 2023 to 2022 among the companies: 338921.50, 33.18",False
6,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747286.0,total waste: 1040.00,False
7,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,154651.0,154651.00,True
8,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,69615.35,"total energy consumption: 35.35, 33.26",False
9,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1,average: 1596.75,False
10,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0,average ghg emissions scope 3 in 2023: 791.55,False
11,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,222042.0,"22042.00, 0.20",False
12,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5,71293.00,False
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,13.47,"average: 1.19, 1.00",False
14,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,32.86,32.36,False
15,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,569155.0,"average scope 2 ghg emissions in 2022: 1.12, 14249.00",False
16,What is the average energy consumption from 2023 to 2022 among the following companies?,55883.25,"average energy consumption: 71218.00, 82766.00, 35056.00",False
17,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,20138555.0,9145824.00,False
18,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,average: 72641.50,False
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,569748.0,average amount of market-based scope 2 ghg emissions in 2022: 10.04,False
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.34,"142457.00, 0.20",False
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,160942.0,161942.00,False
22,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,average scope 3 ghg emissions in 2023: 1519680.00,False
23,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.14,2.24,False
24,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747525.0,total waste: 819267.00,False
25,What is the average energy consumption from 2023 to 2022 among the following companies?,6390.09,"average energy consumption: 12241.00, 13253.00, 33.09, 33.26",False
26,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.61,0.56,False
27,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,2.81,the average amount of market-based scope 2 ghg emissions in 2023 among the companies is 2.91.,False
