index,question,value,response,correct
0,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_dpsgy, share of renewable energy,False
1,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,otc_bayzf, 4840161.0,False
2,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0, 272,False
3,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_su, net primary energy consumption (f) (twh),False
4,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0", 0.24,False
5,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0, 272,False
6,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, otc_su"," 302-1, 302-4",False
7,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, otc_su, deutsche-telekom-ag"," district heating, fuel oil, coal",False
8,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, otc_bayzf", gross scope 1 ghg emissions,False
9,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,otc_bamgf, of which surface water in %,False
10,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59, 2225.8,False
11,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi, food waste,False
12,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0", 30953,False
13,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,348.65, 71218,False
14,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,nyse_tte, 176,False
15,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, axa, vivendi",table too long,False
16,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, logistics-related ghg emissions,False
