index,question,value,response
0,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0,250916#313698
1,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.05,0.15
2,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.11,4.11
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,11075.0,23422.67
4,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12,0.3
5,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34,8.59
6,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747286.0,1746267
7,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,154651.0,112228#42423
8,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,69615.35,"33.2#33.09#22.19 |

| step | output |
| 1 | Arithmetic |
| 2 | 33.09#22.19 |

| 3 | 33.09 + 22.19 |

| 4 | 55.28 |

| 5 | million |

Finally, present the final answer in the format: """
9,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1,0.15
10,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0,735018
11,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,222042.0,54375
12,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5,0.15
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,13.47,3130824
14,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,32.86,"9.18#9.72 |

| step | output |
| 1 | Arithmetic |
| 2 | 9.72#9.18 |
| 3 | (9.72 + 9.18) / 2 |
| 4 | 944 |
| 5 | million |

Finally, present the final answer in the format: """
15,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,569155.0,2.08
16,What is the average energy consumption from 2023 to 2022 among the following companies?,55883.25,34774
17,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,20138555.0,50000000
18,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,96396.5
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,569748.0,16808.5
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.34,0.2
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,160942.0,22603#138339
22,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,187973.33
23,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.14,4.15
24,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747525.0,3712845
25,What is the average energy consumption from 2023 to 2022 among the following companies?,6390.09,33.09#33.26
26,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.61,0.66
