index,question,value,response,correct
0,What is the value between operated and not operated intensity GHG emissions of the lowest percentage ratio between 2022 and 2021?,100, -1.00,True
1,"What is the value between SO2, Nox and NMVOC emissions of the lowest sum in the years 2021, 2022, 2023?",41, 41.00,True
2,"What are the top 2 highest values between purchased goods and downstream transportation of the sums (in ascending order) between the years 2022, 2023?","2.0, 57.0"," 2.00, 57.00",True
3,"What are the top 2 highest values between upstream and downstream transportation of the sums (in descending order) between the years 2022, 2023?","17.0, 2.0"," 9.00, 8.00",False
4,"What is the value between the processed waste and not hazardous waste of the highest sum in the years 2020, 2023, 2021, 2022, 2019?",2682, 1037.00,False
5,What is the average between biofuels and gas emissions of the sums between the years 2023 and 2022?,131, 65.50,False
6,What is the average between not hazardous and hazardous waste of the percentage ratios between 2023 and 2020?,103.65, 50.00,False
7,What is the value between fresh water withdrawal exclusing cooling water and in water stress areas of the highest percentage ratio between 2021 and 2020?,103.85, 3.85,False
8,"What is the value between Nox and NMVOC emissions of the lowest sum in the years 2023, 2019?",126, 103.00,False
9,"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0"," 199398.00, 150463.00, 54253.00, 5319.00, 5223.00, 1868.00",False
10,"Which are the top 3 lowest values between grid electricity, purchased renewable electricity and self generated renewable electricity of the averages (in ascending order) between the years 2023, 2022, 2021, 2020?","18059.5, 118148.25, 599428.0"," 18085.50, 103398.25, 599703.00",False
11,What is the value between surface and groundwater withdrawal of the lowest percentage ratio between 2020 and 2021?,88.12, 3.59,False
12,What is the value between the total water withdrawn and the water withdrawn for cooling of the lowest percentage ratio between 2020 and 2023?,95.92, 1147831.00,False
13,What are the top 2 lowest values between the total water withdrawn and the water withdrawn for cooling of the percentage ratios (in descending order) between the year 2021 and 2020?,"112.74, 107.48"," 12.70, 7.43",False
14,What is the value between scope 1 and scope 2 emissions of the lowest percentage ratio between 2021 and 2020?,98.83," 140718, 153115",False
15,What is the average between scope 2 and scope 3 emissions of the sums between the years 2020 and 2023?,61391666, 126286105.50,False
16,"What is the value between scope 1 and scope 3 emissions of the highest sum in the years 2020, 2021, 2022?",195296755, 68738103.00,False
17,"What is the value between total scope 2 emissions and emissionsfrom grid electricity of the highest sum in the years 2021, 2023, 2020, 2022?",497492, 219807.00,False
18,"Which are the top 2 highest values between scope 1, 2 and 3 emissions of the percentage ratios (in ascending order) between the year 2022 and 2020?","83.89, 92.42"," -7.57%, -16.09%",False
19,Which are the top 2 lowest values between the energy consumption from renewable and non renewable sources of the percentage ratios (in descending order) between the year 2023 and 2022?,"102.7, 81.38"," -18.61%, 2.26%",False
20,What are the top 7 highest values between different sources of energy consumption of the percentage ratios (in descending order) between the year 2020 and 2023?,"194.77, 187.31, 180.37, 132.24, 95.89, 53.74, 53.43"," -1.00, 90.40",False
21,"What is the value between purchased and self generated renewable electricity of the lowest average between the years 2022, 2020?",16591.5, 16591.50,True
22,Which are the top 2 lowest values between surface and groundwater withdrawal of the percentage ratios (in descending order) between the year 2021 and 2022?,"131.98, 104.33"," 95.84, 75.83",False
23,What is the value between total and surface water withdrawal of the lowest percentage ratio between 2020 and 2022?,100.34," 1921569, 14514",False
24,"What is the sum between total water withdrawn and water withdrawn for cooling of the averages between the years 2021, 2020?",2830049, 2820049.00,False
25,"What is the value between market based total scope 1 and 2 emissions and scope 2 emissions of the highest sum in the years 2023, 2021, 2022, 2020?",1012836, 142388.00,False
26,"Which are the top 2 highest values between scope 1 emissions and gas emissions of the sums (in descending order) between the years 2023, 2021, 2022, 2020?","515345.0, 195212.0"," 142388, 140718",False
27,What is the average between fuel and gas emissions of the sums between the years 2021 and 2020?,58972, 58972.00,True
28,What is the average between vehicle and sf6 emissions of the percentage ratios between 2020 and 2022?,144.96, -30.43,False
29,"What is the sum between grid and renewable electricity emissions of the averages between the years 2021, 2022, 2023, 2020?",57021.25, 58046.75,False
30,Which are the top 2 lowest values between scope 2 and 3 emissions of the percentage ratios (in descending order) between the year 2020 and 2023?,"162.35, 115.84"," 61.61, 86.38",False
31,What is the average between non hazardous waste and non hazardous recycled waste of the sums between the years 2023 and 2022?,228518.5, 228518.50,True
32,"What is the sum between non hazardous and hazardous waste of the averages between the years 2021, 2022, 2023?",130785.67, 130119.00,False
33,"What is the sum between total waste and hazardous waste generated of the averages between the years 2021, 2020?",139171, 139171.00,True
34,"What is the value between recycled, incinerated and landfilled waste of the highest percentage ratio between 2022 and 2023?",122.5, 6871.00,False
35,What is the value between total and non hazardous waste of the highest percentage ratio between 2020 and 2023?,100.93, 8573.00,False
36,"What is the value between reused and incinerated non hazardous waste of the lowest average between the years 2023, 2021?",6917.5, 6917.50,True
