index,question,value,response,correct
0,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12, 23.8,False
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22824.6, 953.1,False
2,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0, 164.16,False
3,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0, 11,False
4,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0,table too long,False
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,2.27, 16.79,False
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0, 112228,False
7,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5, 142293.0,False
8,What is the total amount of waste generated from 2022 to 2023 among the following companies?,256799.0, 671,False
9,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,1568090.0, 96745,False
10,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25, 115527,False
11,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0, 142293.0,False
12,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5, 142293.0,False
13,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5, 30490,False
14,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1, 11.4%,False
15,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0, 16695,False
16,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34, 36003,False
