index,question,value,response
0,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY,"Percentage of ISO 50001-certified sites, Percentage of workforce covered by ISO 50001 certified sites, Share of suppliers by weight of GHG emissions committed to a science-based reduction approach"
1,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,OTC_BAYZF,5049144.00
2,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0,10007.00
3,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU,62.90%
4,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0","24.00, 6.00"
5,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,124139.00
6,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, OTC_SU","33.09, 33.26"
7,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, OTC_SU, deutsche-telekom-ag","108722.00, 95108.00, 41931.00"
8,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, OTC_BAYZF","1.89, 1.91"
9,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,OTC_BAMGF,5049144.00
10,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,"22.19, 21.99"
11,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi,"Total recovered WEEE (a), Total hazardous waste (excluding WEEE), Total non-recovered non-hazardous waste, Total recovered non-hazardous waste, Total non-hazardous waste, Total waste"
12,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0","1.89, 85.40"
13,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,348.65,1.88
14,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,NYSE_TTE,Company's waste balance and waste treatment processes(a)
15,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, axa, vivendi","33093.00, 21598.00, 21382.00"
16,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag,Energy consumption (Scopes 1 and 2)
