index,question,value,response
0,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12,0.3
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22824.6,"10007#9214#1770#7444 |

Finally, present the final answer in the format: """
2,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0,735018
3,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0,250916#313698
4,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0,32333#22042
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,2.27,42423#59232#30712
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0,NYSE_AZ#vivendi
7,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5,0.15
8,What is the total amount of waste generated from 2022 to 2023 among the following companies?,256799.0,124139#131402#136816#125292 |
9,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,1568090.0,1000000
10,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25,250916#313698
11,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0,5.26
12,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5,243909#221606#169296
13,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,96396.5
14,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1,0.15
15,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,187973.33
16,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34,8.59
